54739898	G05_1_A_mg.fastq.1.gz.counts
12638116	G05_1_A_mg.pear.fastq.gz.counts
20253243	G05_1_A_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
62241533	G05_1_B_mg.fastq.1.gz.counts
21374373	G05_1_B_mg.pear.fastq.gz.counts
21161354	G05_1_B_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
64860185	G05_1_C_mg.fastq.1.gz.counts
13025266	G05_1_C_mg.pear.fastq.gz.counts
20117698	G05_1_C_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
67363154	G05_1_D_mg.fastq.1.gz.counts
14448047	G05_1_D_mg.pear.fastq.gz.counts
29852751	G05_1_D_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
67203452	G05_1_E_mg.fastq.1.gz.counts
10603606	G05_1_E_mg.pear.fastq.gz.counts
26491798	G05_1_E_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
54411340	G05_1_F_mg.fastq.1.gz.counts
15908924	G05_1_F_mg.pear.fastq.gz.counts
24293123	G05_1_F_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
80979673	G05_2_A_mg.fastq.1.gz.counts
14138706	G05_2_A_mg.pear.fastq.gz.counts
44165259	G05_2_A_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
71479501	G05_2_B_mg.fastq.1.gz.counts
10135997	G05_2_B_mg.pear.fastq.gz.counts
44086485	G05_2_B_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
72460665	G05_2_C_mg.fastq.1.gz.counts
13262483	G05_2_C_mg.pear.fastq.gz.counts
54652786	G05_2_C_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
49164893	G05_2_D_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
47817172	G05_2_E_mg.fastq.1.gz.counts
8825059	G05_2_E_mg.pear.fastq.gz.counts
35827721	G05_2_E_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
55231282	G05_2_F_mg.fastq.1.gz.counts
13287899	G05_2_F_mg.pear.fastq.gz.counts
44357095	G05_2_F_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
88613465	G05_3_A_mg.fastq.1.gz.counts
21825304	G05_3_A_mg.pear.fastq.gz.counts
27470976	G05_3_A_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
55228424	G05_3_B_mg.fastq.1.gz.counts
16056706	G05_3_B_mg.pear.fastq.gz.counts
25940710	G05_3_B_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
66931075	G05_3_C_mg.fastq.1.gz.counts
21684487	G05_3_C_mg.pear.fastq.gz.counts
33714568	G05_3_C_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
52180812	G05_3_D_mg.fastq.1.gz.counts
12386415	G05_3_D_mg.pear.fastq.gz.counts
27586402	G05_3_D_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
53869197	G05_3_E_mg.fastq.1.gz.counts
14537033	G05_3_E_mg.pear.fastq.gz.counts
30811035	G05_3_E_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
58467248	G05_3_F_mg.fastq.1.gz.counts
13875784	G05_3_F_mg.pear.fastq.gz.counts
26870685	G05_3_F_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
56339740	G05_4_A_mg.fastq.1.gz.counts
13514285	G05_4_A_mg.pear.fastq.gz.counts
78812300	G05_4_B_mg.fastq.1.gz.counts
18983323	G05_4_B_mg.pear.fastq.gz.counts
23930039	G05_4_B_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
25703995	G05_4_C_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
46556143	G05_4_D_mg.fastq.1.gz.counts
8650128	G05_4_D_mg.pear.fastq.gz.counts
39065973	G05_4_D_mt.R1.fastq.merged.ribodepleted.fastq.gz.counts
49916905	G05_4_E_mg.fastq.1.gz.counts
14834129	G05_4_E_mg.pear.fastq.gz.counts
