"Treatment","Day","Replicate","percent"
"G10",4,"D",0.714035727831823
"G10",4,"E",0.676144586355314
"G10",4,"F",0.932582928923713
"G10",5,"A",0.437027025841487
"G10",5,"B",0.612419227096573
"G10",5,"C",0.66737217701102
"G10",5,"D",0.899297451649508
"G10",5,"E",1.05781022366801
"G10",5,"F",0.767754007676807
"G10",6,"A",1.03100608966089
"G10",6,"B",1.10611688136414
"G10",6,"C",0.818861823525043
"G10",6,"D",0.629223834106891
"G10",6,"E",1.08904424817433
"G10",6,"F",0.346661741272171
"G10",7,"B",0.465002288214544
"G10",7,"C",0.520562800256994
"G10",7,"E",0.740600134252395
"G10",7,"F",0.282487339737139
