"variable","G05_1_E_cluster_DBSCAN_round3_4","G05_2_B_cluster_DBSCAN_round2_17","G05_2_C_cluster_DBSCAN_round3_1","G05_3_E_cluster_DBSCAN_round7_3","G05_5_C_cluster_DBSCAN_round2_2","G05_6_E_cluster_DBSCAN_round5_10","G05_6_E_cluster_DBSCAN_round6_6","G05_6_E_cluster_DBSCAN_round7_6","G05_7_A_cluster_DBSCAN_round8_2","G05_7_C_cluster_DBSCAN_round4_18","G10_2_C_cluster_DBSCAN_round1_10","G10_3_A_cluster_DBSCAN_round5_0","G10_3_D_cluster_DBSCAN_round210_2","G10_6_B_cluster_DBSCAN_round179_0","G10_6_E_cluster_DBSCAN_round5_1","G10_7_A_cluster_DBSCAN_round160_0","G10_7_C_cluster_DBSCAN_round1_6","G10_7_C_cluster_DBSCAN_round7_14","G10_7_C_cluster_DBSCAN_round7_2","G10_7_E_cluster_DBSCAN_round81_0","MES_1_D_cluster_DBSCAN_round2_17","MES_1_E_cluster_DBSCAN_round6_3","MES_2_C_cluster_DBSCAN_round3_1","MES_5_C_cluster_DBSCAN_round8_4","MES_7_C_cluster_DBSCAN_round4_2","MES_7_D_cluster_DBSCAN_round362_17","MES_7_E_cluster_DBSCAN_round2_10","pH10_1_E_cluster_DBSCAN_round1_4","pH10_1_E_cluster_DBSCAN_round2_19","pH10_1_E_cluster_DBSCAN_round2_2","pH10_2_A_cluster_DBSCAN_round2_4","pH10_2_A_cluster_DBSCAN_round6_5","pH10_4_D_cluster_DBSCAN_round1_1","pH10_6_A_cluster_DBSCAN_round525_32","pH10_6_C_cluster_DBSCAN_round2_10","pH10_6_E_cluster_DBSCAN_round5_14","pH10_7_A_cluster_DBSCAN_round2_25","pH10_7_B_cluster_DBSCAN_round161_0","pH10_7_C_cluster_DBSCAN_round5_6","pH10_7_C_cluster_DBSCAN_round7_1","pH10_7_C_cluster_DBSCAN_round7_4","pH10_7_E_cluster_DBSCAN_round3_20","pH10_7_F_cluster_DBSCAN_round4_20","pH10_7_F_cluster_DBSCAN_round5_0","pH6_1_A_cluster_DBSCAN_round1_4","pH6_1_D_cluster_DBSCAN_round2_7","pH6_2_E_cluster_DBSCAN_round5_7","pH6_4_F_cluster_DBSCAN_round203_0","pH6_6_D_cluster_DBSCAN_round9_1","pH8_2_E_cluster_DBSCAN_round1_4","pH8_6_D_cluster_DBSCAN_round6_12","pH8_7_C_cluster_DBSCAN_round6_1","pH8_7_D_cluster_DBSCAN_round9_5","pH8_7_F_cluster_DBSCAN_round202_0"
"G05_5_D",10719,1625847,1116714,318928,79762,50923,54493,41677,12519,12741,17285,129489,96733,326905,71804,89128,388124,9426,25388,390935,34026,16295,34727,145227,41136,578895,17984,938488,255281,92318,323290,81110,232619,10914,67163,185801,7540,26677,14805,10969,21750,16488,5994,91829,34671,10469,612685,32643,2421955,665645,7572,6282,58270,11575
"G05_5_E",9077,791209,1097761,742604,41801,54218,80586,101328,5606,8937,10037,208084,48789,201808,87826,63875,616222,8146,27960,427249,26304,11328,21730,21988,63795,383281,13367,110995,249600,203266,377043,99678,222082,6807,42217,295192,7356,22584,15005,11437,26956,23507,4724,60887,41236,6847,450379,17716,3444017,249919,7497,17395,77631,14687
"G05_5_F",12533,1374746,1321963,405561,67903,58158,70350,40143,49057,13304,20522,165947,106613,367003,67901,97697,398969,10417,26845,414351,37270,18638,39349,172884,54103,584219,18754,1262237,254023,100341,342350,93642,237716,8677,73718,228894,8248,25656,18140,10527,23195,19407,8161,93397,39779,9916,738151,39757,3123688,458091,7922,6492,52591,11568
"G05_6_A",25467,2246125,2815866,732376,156230,98543,110207,102413,38530,28491,53855,370187,137683,442461,147660,172442,705235,18563,65869,641511,53902,45284,80998,182168,116855,781312,39185,864740,433875,202037,780830,137759,576931,23341,160105,484496,14818,48787,32866,22676,57749,52824,6933,137374,94610,23090,1337915,44186,4192154,1808648,18440,10833,161768,28009
"G05_6_B",22249,1635716,2190301,431839,131188,73589,55317,65092,25358,27454,36787,259672,125746,402902,98458,146971,567840,17754,64108,612618,54979,31474,86465,228644,82942,624467,26004,1337435,376996,203091,663890,118582,253165,20324,113985,370006,14204,34225,23445,15839,39442,28901,8236,101895,65534,19221,960996,43970,3380845,1918111,12159,9543,126390,17800
"G05_6_C",34938,1623550,506342,393093,186074,77098,54126,54454,13149,41468,57264,416199,138104,497070,122930,120244,328275,16089,49045,707732,33592,41355,92360,204712,138393,690259,65428,666803,526012,225078,217931,138414,198992,23080,156994,434887,13458,28774,18802,16493,51306,27283,8118,50245,85031,28117,1076449,59007,1261662,3459536,16575,11207,105948,16342
"G05_6_D",32616,2243103,2391459,973453,169275,133512,113267,108838,61785,30303,63448,375917,195127,581574,164585,195435,693505,24451,77316,772930,68407,54594,102182,250637,121268,1083893,30907,1128587,443017,217088,646512,148793,560158,30337,216452,537574,17352,61914,35789,28413,67755,41815,11835,160572,97677,30767,1730563,56115,5136413,1463066,21514,13522,129039,35828
"G05_6_E",20581,1855752,1966910,1067668,120645,149852,109436,149178,60039,21491,34367,299887,71445,285892,111633,104369,815008,14519,45292,568022,50532,35590,39334,26200,93179,489196,20737,54454,317892,223048,465333,118766,348729,11488,102945,340271,12413,33702,24222,16228,59309,55936,8453,130554,69858,19450,1148049,27825,3343927,760432,16089,17957,134963,21976
"G05_6_F",23928,1567449,2015005,686654,106541,94334,82274,86087,81247,20801,44023,266231,158854,482605,116328,171079,604598,18787,68607,624770,64520,40217,72142,210434,85679,865147,27016,298298,350432,197876,643300,134151,381408,18505,175728,432922,14891,48590,27708,19704,48007,33705,10589,147045,66597,30021,1235345,48139,4793902,1118702,16849,11937,90034,23827
"G05_7_A",10675,1769991,1489628,346371,85526,56735,63756,59083,48616,13092,19739,207508,88949,289452,75302,116820,413767,9197,28877,405179,29936,19146,39230,79804,64454,550093,26477,153844,222839,190746,631165,70492,261998,12633,80884,236045,8638,32205,16717,12219,46180,34332,5623,88401,44125,10901,598004,26535,2930192,951085,9298,5202,80427,14208
