"variable","G05_1_E_cluster_DBSCAN_round3_4","G05_2_B_cluster_DBSCAN_round2_17","G05_2_C_cluster_DBSCAN_round3_1","G05_3_E_cluster_DBSCAN_round7_3","G05_5_C_cluster_DBSCAN_round2_2","G05_6_E_cluster_DBSCAN_round5_10","G05_6_E_cluster_DBSCAN_round6_6","G05_6_E_cluster_DBSCAN_round7_6","G05_7_A_cluster_DBSCAN_round8_2","G05_7_C_cluster_DBSCAN_round4_18","G10_2_C_cluster_DBSCAN_round1_10","G10_3_A_cluster_DBSCAN_round5_0","G10_3_D_cluster_DBSCAN_round210_2","G10_6_B_cluster_DBSCAN_round179_0","G10_6_E_cluster_DBSCAN_round5_1","G10_7_A_cluster_DBSCAN_round160_0","G10_7_C_cluster_DBSCAN_round1_6","G10_7_C_cluster_DBSCAN_round7_14","G10_7_C_cluster_DBSCAN_round7_2","G10_7_E_cluster_DBSCAN_round81_0","MES_1_D_cluster_DBSCAN_round2_17","MES_1_E_cluster_DBSCAN_round6_3","MES_2_C_cluster_DBSCAN_round3_1","MES_5_C_cluster_DBSCAN_round8_4","MES_7_C_cluster_DBSCAN_round4_2","MES_7_D_cluster_DBSCAN_round362_17","MES_7_E_cluster_DBSCAN_round2_10","pH10_1_E_cluster_DBSCAN_round1_4","pH10_1_E_cluster_DBSCAN_round2_19","pH10_1_E_cluster_DBSCAN_round2_2","pH10_2_A_cluster_DBSCAN_round2_4","pH10_2_A_cluster_DBSCAN_round6_5","pH10_4_D_cluster_DBSCAN_round1_1","pH10_6_A_cluster_DBSCAN_round525_32","pH10_6_C_cluster_DBSCAN_round2_10","pH10_6_E_cluster_DBSCAN_round5_14","pH10_7_A_cluster_DBSCAN_round2_25","pH10_7_B_cluster_DBSCAN_round161_0","pH10_7_C_cluster_DBSCAN_round5_6","pH10_7_C_cluster_DBSCAN_round7_1","pH10_7_C_cluster_DBSCAN_round7_4","pH10_7_E_cluster_DBSCAN_round3_20","pH10_7_F_cluster_DBSCAN_round4_20","pH10_7_F_cluster_DBSCAN_round5_0","pH6_1_A_cluster_DBSCAN_round1_4","pH6_1_D_cluster_DBSCAN_round2_7","pH6_2_E_cluster_DBSCAN_round5_7","pH6_4_F_cluster_DBSCAN_round203_0","pH6_6_D_cluster_DBSCAN_round9_1","pH8_2_E_cluster_DBSCAN_round1_4","pH8_6_D_cluster_DBSCAN_round6_12","pH8_7_C_cluster_DBSCAN_round6_1","pH8_7_D_cluster_DBSCAN_round9_5","pH8_7_F_cluster_DBSCAN_round202_0"
"G10_4_A",68767,31896,62060,1398607,1643489,11399,6707,43103,8492,14954,172151,277333,103434,200942,15310,17293,25908,10772,21216,403399,22188,100075,69223,27835,93344,450947,1362,499100,6359,3005,13994,7090,34987,7009,299446,852548,5699,2311,3450,1261,6053,3504,2898,6559,126754,20232,3689046,16380,258475,28718,54779,821,4768,1620
"G10_4_B",53475,23269,95185,939841,1137002,6275,3179,38560,5982,12294,135301,219554,78325,179139,7407,13398,31096,8473,14320,353345,18246,75159,62765,97448,72103,320362,1611,1347410,10554,6917,22395,7238,25250,4548,232989,491431,3781,2537,2144,1099,3128,2274,2189,6857,45964,16715,3019365,17716,231540,781719,39047,506,5174,1476
"G10_4_C",36881,27157,133103,1772643,470345,10142,9134,51984,10399,18681,358592,656645,37069,70780,9162,25396,71402,13228,20185,112041,78871,91519,83722,26787,216303,71386,2115,472142,20209,17281,60257,14220,26591,8432,277206,676361,6097,4203,4692,2422,5731,5038,3947,11542,36812,13764,6257785,8645,249699,150583,35698,1446,11936,2924
"G10_4_D",76452,55978,84156,1213449,1719834,11337,9106,51699,8380,18492,164263,238862,154355,313034,23422,20277,40762,11424,24377,605637,38945,120910,97871,269633,81977,658594,2452,2961577,11871,14263,49129,8951,55651,6678,367476,877864,5910,5021,3435,2183,5288,3168,3135,15291,114541,29715,3262560,27354,725801,1334144,60079,935,8684,2965
"G10_4_E",42561,796666,326886,1194627,778506,43383,32140,75360,47288,23596,56128,443233,132913,594262,122445,27844,333901,22128,133430,1212851,119369,57551,113391,28200,149906,1070362,11652,1224140,130673,43780,164918,64205,381894,11594,186424,718049,13816,29406,13524,9323,33954,16862,11907,51268,255030,27571,2270078,53315,3009058,38322,32126,5282,72535,10819
"G10_4_F",18232,244520,28051,230716,292422,5257,12503,26193,4972,6098,24274,116219,83334,257176,40103,7982,46473,7977,27168,291188,15297,23213,58004,347788,41067,453470,1552,1584757,3532,8272,32773,6581,100912,2141,79265,281596,3913,4392,1428,1065,3859,1640,2476,27585,43615,10664,614534,26307,2672254,152970,11653,891,5281,1563
"G10_5_A",45545,197191,92840,978915,642511,15126,15749,50467,7966,20727,109812,238966,123504,365176,52401,20265,62055,11335,37234,642471,36877,79085,154875,295132,85020,685265,6956,1446871,29565,51689,60435,15055,145532,6614,304600,929133,6056,8468,4642,3411,7635,4631,3860,15001,150091,22562,2375815,33139,704346,1715346,38439,1720,14764,4051
"G10_5_B",43909,431330,74296,770408,497426,14115,13087,52389,8422,21870,99395,294377,175999,618718,61581,17504,45687,12387,26468,836869,27206,75578,152149,448923,104040,806802,5058,2868722,46155,16758,40142,16786,148604,5729,289637,710357,6150,7988,3703,2771,8215,4378,4560,22759,116850,27804,2379376,75000,1399590,1527269,32809,1716,14960,3155
"G10_5_C",138215,29715,88656,1689011,1085630,10091,9259,50367,11139,19147,522472,410228,48017,91863,12286,26688,48527,14240,19626,199910,57140,170885,82786,20789,135598,142366,1591,352171,11478,12678,41404,11642,31346,8787,465853,665033,6703,4341,4908,2431,6881,4882,4147,10542,52210,23714,6845904,9080,250973,90892,65186,1163,8113,3060
"G10_5_D",26836,380304,84703,598465,360965,20870,20341,42083,12365,17468,62203,241924,169444,531214,74861,20420,71249,14272,49321,766554,31999,51046,189217,473197,83582,925460,7182,2266300,79072,57712,61612,25288,221099,6830,196206,672718,6774,12167,4754,4116,10891,5634,5599,30732,111370,19425,1653984,54053,2377871,939643,22413,2649,19228,4565
"G10_5_E",15552,379859,697384,605645,140291,19641,64344,30435,5657,9889,13081,107516,45836,125011,146188,13969,476336,9054,35491,259908,16361,18111,22314,38016,36731,281713,22456,296233,388047,45888,330370,124516,293435,7776,43842,385993,8324,21543,26534,12557,25086,24943,4574,69012,295888,12477,586200,8894,4097926,67970,9497,27726,80314,14391
"G10_5_F",13587,464958,26955,217196,176020,16998,30353,21791,13652,7971,23886,139575,98410,268778,80052,10033,118676,7633,27452,321596,20938,21068,60552,292747,46936,459301,2408,1310181,7718,15611,69803,11910,141021,3197,77341,259433,4284,16643,2309,3651,7440,2797,4191,36124,46367,10816,599131,27899,3119418,119483,9786,1359,8259,4830
"G10_6_A",25686,1856859,24899,565633,251058,63660,168081,33336,13025,16558,68047,194760,162156,517339,496429,42372,356554,14065,77145,707922,20899,56601,230869,331420,67505,1108974,25776,860574,13173,78059,353807,46060,551855,11714,271967,638811,10021,79980,8886,17585,35736,12701,5944,61830,132547,12407,1304865,43894,3966095,396082,28185,5354,12762,15077
"G10_6_B",12582,1061011,43579,168484,134733,43291,52443,20787,7021,13204,17996,113891,126163,421042,87500,43037,106608,9484,27991,504215,24225,18160,76346,241991,38488,727574,22498,1138119,261764,91094,197266,79795,149703,7645,83541,254811,7119,28696,9497,9485,19458,11623,8344,42729,32646,8363,522948,43919,2782781,613228,9453,6280,41193,8457
"G10_6_C",115705,38886,57760,1159530,1582959,10686,9375,36802,9202,22070,231942,216924,127288,368883,12795,21121,33557,11013,23236,770270,45326,126857,121378,44625,76072,801650,1871,350032,6502,9344,34406,8236,26411,7411,483944,948513,6028,3398,3839,1741,4256,2902,3473,8048,173296,28261,3814158,29955,198858,1797811,67483,942,6414,2117
"G10_6_D",24387,1203127,123911,456181,247959,63773,182973,41569,11229,22774,46135,226332,230094,637026,228261,92691,440581,20257,72121,807451,54528,42143,166128,466187,76055,1269466,38181,2058991,479671,91031,477243,168276,419202,15358,166525,622234,12729,71575,20171,23217,38947,24107,11990,60574,76608,16232,1190863,57741,3834782,1107191,18705,12960,81320,21015
"G10_6_E",19667,785924,650192,651807,124128,26042,70341,45474,6174,10221,18246,116113,54447,151986,157916,14753,434137,9666,37222,323390,13938,23314,22075,32030,39005,344697,18114,261341,317059,69264,367131,106278,265024,8434,67157,477358,10299,26354,25303,14292,33614,24941,5263,82666,247942,11299,587152,10808,4465566,52644,11436,28511,65745,19018
"G10_6_F",14957,571446,34366,299504,142930,38336,104152,23148,5198,10630,28459,130254,132218,376812,284604,60091,940255,11350,42554,475044,54152,24006,97568,353193,43472,708742,8114,1284273,14726,33980,350272,73757,280024,6043,96478,394411,7692,113300,7173,19803,26415,9132,5132,36660,53849,7760,776863,35954,2937083,300222,10796,3262,17360,13440
"G10_7_A",21722,1633301,33764,473294,171419,75024,259782,27049,8310,17999,46698,238952,142054,419036,481142,183466,1180443,17296,87873,573610,28929,40703,261577,357627,82531,871558,19742,1023976,27508,104379,745528,106201,380093,18167,162842,555506,13482,228222,11716,49217,46767,20404,9831,75187,227218,9855,1239158,35683,5719527,71546,17755,6441,25168,35329
"G10_7_B",25912,1612112,88418,484837,170309,93650,179198,32160,12019,29585,39646,263854,164132,490836,148905,127995,303681,21819,74566,618652,44294,40125,163897,377502,89738,796836,37336,1608326,461082,167351,533651,164849,198665,19743,147207,487837,13585,49717,22050,20776,36507,21598,13362,62804,76050,12374,1426648,52542,3819034,1076516,15058,11482,76730,21223
"G10_7_C",83337,1619685,73058,1407779,855659,48884,123192,32696,23024,39063,189464,592531,417107,939542,307167,46843,270470,57750,324538,1601726,42883,129760,802521,965818,213873,1680645,15985,847593,80753,174450,61689,36850,350860,19444,493390,1206173,20761,23603,10138,9465,9308,9559,8173,43568,621332,24218,3821959,95182,1561075,1489598,52412,5809,15915,10920
"G10_7_E",50771,1493488,1104674,1250884,401695,97222,97696,62536,13521,27013,67952,372256,101749,332311,272830,38794,1023161,38664,136351,735850,51912,75416,98656,58054,118051,672544,29981,950059,489038,74819,870206,196799,954194,24435,174626,608434,19336,110840,34711,44485,107824,63853,15863,118628,345451,24858,2194626,27150,6588327,66165,29967,19237,167313,59942
"G10_7_F",32377,980287,932143,1252824,172537,30462,61285,39554,11033,19921,44798,300894,185192,314703,181727,28141,641083,22248,63697,535293,22608,46150,116907,141701,101038,711751,30507,50554,473704,95721,777088,180964,332165,13055,155464,975281,13893,68002,38793,34910,56787,40294,9373,108741,320934,12001,1757254,23816,7482211,484809,17632,36341,92717,51872
"MES_1_A",33431,57089,526011,1537837,178207,12172,25559,39968,9734,22914,999804,170014,40370,142554,21631,23709,312099,12598,17442,80206,263731,121041,60324,28379,50910,62751,6522,390367,87570,70837,216982,45062,49110,7954,133570,711152,5755,9573,8142,4606,12352,11671,4034,31643,55696,12054,4767582,23250,627512,222733,22449,3340,41660,4600
"MES_1_C",16593,67869,458266,1388318,94583,12536,24484,36454,9344,20489,1105294,188179,44797,176359,16754,23942,313388,11803,17746,116746,198350,88821,73292,31326,54423,109137,6681,406034,93397,81624,232791,43872,33241,7363,103930,454307,5288,8302,7535,4433,10775,10433,4007,33556,48726,11250,4660697,27221,643086,248699,15709,3363,41845,4671
"MES_1_D",37413,59137,549737,1538826,185410,11144,18188,37165,10088,25521,1043923,196957,55310,170268,22100,27803,291565,13844,17598,130662,302015,130475,87888,42866,60903,98215,6932,583502,103023,68452,262736,41694,48872,8097,176220,706878,6177,10113,6258,5197,9729,8906,5192,38214,53402,11955,5340594,26426,474779,269198,25716,2766,34123,5584
"MES_1_E",43362,31633,189420,1363510,206525,12747,17509,27262,6808,13239,804231,185155,31430,87932,13606,16637,137208,9352,10930,125596,76988,101543,30371,14050,61661,100880,3572,188530,52761,25605,81483,27140,32785,6189,112367,555154,4207,4309,6020,2461,7565,6652,2608,21884,51601,8453,3843567,11218,446301,48074,22003,3062,20103,2755
"MES_1_F",23894,28143,217308,452681,96333,4722,5100,13604,3907,9003,254900,328367,78820,110878,7918,10341,175186,5770,7617,105157,90077,36337,42698,51669,106953,127411,3041,600240,39355,31949,133714,19861,41137,2794,73698,388941,2497,4583,2273,1931,3544,3232,1922,26264,23806,5688,1862194,15228,195555,105897,11165,971,15661,2135
"MES_2_A",41699,28982,272360,860817,845955,13456,14442,29491,8758,17146,595192,445947,108328,112675,16746,17669,215849,11269,21149,148969,117804,95964,96154,45426,146078,191679,4691,883567,62588,13415,38241,28779,69574,7322,190767,1410728,5385,4264,4777,2410,9119,6854,3692,11679,97863,16385,2928460,12569,495606,95129,37645,2078,19281,2618
"MES_2_B",45444,49834,484748,690369,699687,10040,10798,34051,8066,17322,480151,654373,177827,210856,21759,16757,353944,10782,18077,242796,125620,87640,133754,53746,214530,280595,5775,1532722,77443,49883,147074,37698,85064,6429,184396,1063355,4885,5849,4169,3045,6697,5240,3923,21501,68709,17968,2704197,27318,435400,423154,32734,1861,26657,3407
"MES_2_C",60084,75250,479282,2456261,369786,23265,26336,68327,16399,36919,1911606,323607,91385,229918,20730,43923,321641,22191,29195,282203,302734,327823,129126,34435,99198,232652,7005,474801,100413,73076,222772,50279,51035,14517,508316,1261227,9960,9717,10498,5553,13018,12843,6739,35856,81910,21837,8851779,29983,733225,252932,63457,3879,45303,5475
"MES_2_D",45176,37044,311642,830182,611253,11632,12703,33566,8903,20787,551359,599345,212312,207652,19336,20898,293470,12721,20611,284894,160274,99709,225651,46346,204709,295516,5759,1990575,79029,50497,100955,36888,79034,8079,234064,1604329,5861,6501,5090,3452,6867,5839,4382,21436,114872,24162,2976720,26224,668672,195486,35192,2253,23997,3604
"MES_2_E",42712,85021,343155,857435,523032,14414,34350,40115,15271,16960,470828,661042,96551,145384,27517,18475,339182,13217,46622,282355,92298,81879,108163,12509,226922,257142,4672,183091,52528,49410,59905,39566,67055,7869,156256,1488260,6434,5431,6913,2883,10577,6351,4434,28573,557770,14795,2141573,15047,1872240,43633,30843,3526,30540,3515
"MES_2_F",41170,50022,415676,601650,477692,9992,11754,31193,10073,18335,384472,747400,221168,215396,19467,18052,491365,12037,21442,357208,96530,77805,294691,142479,256690,315497,7738,2826557,101054,47029,86884,61330,65282,6903,180838,1411026,5615,5668,5304,3266,6540,5886,4065,36459,145338,15386,2324534,26693,1652969,224479,27426,2517,30215,3125
"MES_3_A",88441,138361,879734,1480468,2101761,26465,52816,76894,21949,43193,925399,1526174,293476,426795,61764,38738,833462,25951,77669,690738,223867,202000,707664,83165,534845,887922,13951,4771358,158594,154739,130279,83266,117194,17714,419335,3664149,13116,13157,13661,6704,22078,15302,9470,51744,420523,53247,4216177,40968,4268308,215754,78533,6372,87374,7552
"MES_3_B",46279,121326,713857,498587,1304128,10165,17740,36468,13146,21913,336492,968654,198140,366843,37081,18769,855789,12344,36704,536305,66409,75707,455294,114881,340812,647968,12145,3679996,122624,126206,94354,68398,139275,7637,165701,1371281,6860,7710,6433,3833,7651,6684,5325,32404,202799,23340,1711160,38731,2511891,1073959,36413,3766,45533,4520
"MES_3_C",55852,47721,295460,1133172,1362715,16678,20505,40993,12166,23616,921183,721492,144857,180229,17411,25085,334889,14031,37369,228972,171966,169828,222032,113780,241808,280130,5238,1551390,66952,46115,112009,37852,67750,9968,367832,1744974,6644,5448,6472,3078,7698,6909,5108,21675,114579,26995,3617230,21262,652398,337027,62710,2551,35051,3270
"MES_3_D",16204,174538,908445,246896,238938,8853,41306,20111,19285,15603,121921,676720,122770,197603,73906,15726,1003203,10621,54446,304514,59404,29160,252210,80574,233563,350505,16575,2157294,193575,215083,61685,106023,169828,5559,64227,819242,6097,10181,8292,5879,8804,8977,5658,60408,81710,11686,742071,19723,7918334,214349,10181,5631,62978,6455
"MES_3_E",7022,399081,1351625,125912,86122,6228,100049,30262,14573,7806,30106,404731,114128,203209,102832,21223,1696864,10076,60372,267340,26053,11256,82175,17930,144980,272564,41028,215723,129717,275744,113601,152041,172411,3352,26440,364244,4209,16424,15746,8189,9265,10021,3783,91799,444610,4460,281499,24942,11232067,25828,6256,4872,106122,9864
"MES_3_F",4133,126172,484287,71434,31395,2994,20602,14102,9020,4756,20208,236143,75661,176304,53563,20762,925372,7912,19772,158316,10993,6093,76154,248746,81634,166384,19056,1185412,128801,84525,96562,97333,103166,2499,17469,263364,2620,9477,6219,5007,6038,5738,3478,44344,89272,2554,213229,25423,6055218,82718,2807,3371,52239,5802
"MES_4_A",12858,321444,874504,145261,238386,9380,58726,20965,39631,11216,88064,492506,105405,168227,115629,18147,787054,8769,39180,232509,37129,23778,115206,33146,169174,329880,28445,1075193,145420,269144,75522,82281,188409,4909,58661,677936,5854,12417,9440,6481,10610,8580,6309,84615,61955,10240,382180,15950,10905895,63046,9788,4884,59885,9152
"MES_4_B",11734,224565,704020,141905,225859,6391,31453,17517,29066,10640,76156,553174,123406,211868,74182,14656,833414,8424,34557,310857,18068,19783,148533,51918,192676,379588,15898,966199,137662,150912,56099,70183,132270,4328,48822,508550,5948,11956,6317,5565,7323,6391,8246,45741,43536,8293,459399,21534,5729888,238278,7588,4332,35006,7845
"MES_4_C",26208,26026,133461,511830,797796,7875,12523,27717,7653,13024,422589,461513,105930,180060,13900,14671,447173,8005,33678,318787,54692,75488,245543,210304,160135,374931,4285,1392657,43225,31155,35341,28826,39174,5993,185616,1183394,4445,3076,3787,1777,4587,3764,3184,13296,169367,14854,1656406,16572,914318,914128,30160,1589,19679,1967
"MES_4_D",7435,172169,502979,113466,91197,5957,28131,14570,17882,8217,54705,370210,116642,188751,70461,24732,578775,6698,26969,269169,21209,14512,106991,41777,126819,342179,15067,865724,108106,132904,90475,60898,125515,3542,38768,496284,5051,11050,5854,5244,6284,5532,5310,40484,24016,6031,356184,19005,5348545,98999,4966,3400,31514,6729
"MES_4_E",5437,302056,365258,141488,77947,6463,57996,25415,9579,6109,38701,300577,86375,207469,82712,19794,695554,9669,37658,389999,12194,12109,63861,9154,106110,418521,22537,116981,80322,113182,54217,65471,128951,2844,35607,445459,4769,8837,8623,4473,7267,8006,3352,48975,279681,3199,306444,17687,6026746,10211,5450,2952,32273,6084
"MES_4_F",3997,150037,451081,80038,34469,3610,20566,12086,7202,5047,24322,254734,82841,192735,48874,35026,721013,5373,17954,288467,11659,7673,79250,88554,86972,330989,23218,644213,91181,121561,141335,65900,81844,2368,22022,360115,3687,9787,4823,4272,4826,5423,3380,38765,31589,2488,275415,20017,5025973,81120,2837,2561,32497,5630
"MES_5_A",8074,203382,414801,183288,134502,10620,30714,22064,23645,9214,73772,331784,138205,224463,69409,43983,522244,9554,51865,358080,12729,22270,148136,20964,112542,511025,30521,575330,101482,79570,103642,53146,105251,5182,65994,901536,7274,9697,5782,4499,6917,7967,5558,40552,55029,6182,519044,17612,5001726,20481,8010,3185,29660,6156
"MES_5_B",12559,280164,736623,246622,214806,10812,32442,27953,30033,14911,93641,546732,208221,358043,94016,58189,1055475,12377,56054,560615,25113,26407,228028,58030,188547,687532,21385,1046228,177906,146052,194297,86991,156243,6639,76989,871055,9542,20105,8688,8610,9854,8836,9255,44373,51376,9400,814337,33414,5144157,268483,9547,5244,43000,10946
"MES_5_C",12735,132767,227479,216038,315206,8802,31108,29877,7315,12818,98502,668799,202885,399291,56784,18890,1184082,10582,75877,639414,29779,26234,151780,539235,230817,844793,21309,1050681,223999,186458,28629,103457,81639,5640,73897,711545,8338,9906,8544,6238,9724,8610,4256,62050,106548,8312,624513,33519,6071884,635699,11280,5585,48585,7130
"MES_5_D",23321,546902,1156950,333948,233896,15427,69944,37986,32880,20625,166555,604885,245548,345041,183209,141158,1291286,16927,70402,523641,40299,48728,301743,79834,209442,655195,35263,1933395,241037,328249,384171,137179,284404,9316,122595,1269543,13104,33074,14546,13737,15231,16867,12878,99638,56422,17868,978774,34034,13292342,215700,14801,8568,79461,18919
"MES_5_E",5000,268560,765671,224092,43834,7028,77361,31892,13924,8487,24281,175217,162794,391887,102636,70049,1582282,11436,89625,772322,16857,10545,84298,16396,64465,758320,54974,152302,124225,134772,152354,131102,101890,4169,30330,626505,8013,16535,21130,7469,8865,11985,6564,58506,537853,3584,485267,34471,6410283,17534,4992,7878,83532,9134
"MES_5_F",3836,130812,300992,84206,42646,3984,15364,11086,18899,5045,23747,199912,87407,160891,39668,33345,483110,4912,15589,247630,12006,7922,73886,48674,68382,298039,16508,459665,69038,50448,118167,50156,63808,2254,22594,356046,3587,8062,4056,3306,4245,5394,3624,26445,12233,2354,298469,15669,3214004,49317,2643,2125,19797,4067
"MES_6_A",6286,219486,409122,126766,101512,8306,34074,20428,13275,7890,46777,253270,140726,210254,81242,61163,530323,7661,37872,312047,16547,14667,89074,20720,85640,477799,38915,537307,99637,94406,183007,57397,108592,4221,43905,695835,6784,11299,7292,4965,7525,10720,5800,40613,39431,5495,354331,16844,4937092,24100,5835,3192,33264,6313
"MES_6_B",8302,239095,459078,105157,145099,5785,23357,18185,15510,8993,51721,316011,138000,198980,77083,54649,615077,7096,24636,292249,17589,15491,108029,35769,109627,377749,17449,695281,110468,107421,160490,60187,124483,3916,43475,453209,6386,16013,6246,6001,6688,7711,6944,33666,21785,7244,339896,19309,4249758,131936,6099,3914,28658,7738
"MES_6_C",11899,242361,268761,93856,284815,7204,35889,23439,9467,10239,53291,289675,96329,164163,84598,27752,907635,9667,51587,267194,20013,17940,76473,239660,103361,326145,85882,948203,246663,247647,98629,121036,112447,4743,48294,438692,6558,13488,11926,8244,10968,12656,5207,67504,65448,8351,256923,15020,6042935,1309640,8917,6518,63421,10207
"MES_6_D",6731,233206,392559,77804,94591,4707,27062,14723,10150,7138,38377,220704,108326,149062,80140,47367,564795,5215,18312,209434,17431,12110,69320,35069,75008,288952,17964,662943,101594,107545,165319,55392,120324,3053,31444,345915,4889,14361,6953,5425,6496,7950,5664,38943,20056,6376,238913,14435,4977483,114292,4446,3667,29490,7053
"MES_6_E",4530,343116,417266,114054,58513,5474,67857,26189,8219,5444,27293,128222,79773,165871,94607,43303,706855,8552,38955,327787,13136,10683,49562,9921,46905,346237,52655,112675,76169,118286,137618,74561,136230,2549,32713,404088,5465,17008,11194,6665,8470,12197,4864,58148,281608,3755,253837,13986,6749012,13624,4742,5777,42913,7674
"MES_6_F",3359,119819,216862,72294,32794,3412,13494,12086,7029,4335,24170,162898,86679,173196,39317,36494,379669,4424,16129,288687,8994,8187,68153,35906,54740,347102,16183,369026,48303,49138,94615,39110,62795,2076,24944,381120,3891,8257,4056,2952,3387,4638,3232,22971,13895,2516,261271,14861,2966782,45672,2898,1713,16158,3790
"MES_7_A",10264,288321,534517,269937,162849,12022,45285,29948,12940,12625,62203,361229,196950,273882,115789,89969,848279,12186,60290,407320,28433,23353,134432,43268,124094,604944,71013,800200,162243,148670,300219,93280,177839,6229,64636,927414,9818,16335,10649,7334,10465,16369,7987,61290,95587,8450,695915,22655,7331629,75865,8471,5065,49547,9109
"MES_7_B",12638,352370,670475,191943,191597,9581,30739,28637,18049,14380,68288,413024,202366,276227,95739,100584,990975,11021,44142,421234,27628,25687,173903,56341,143651,525328,26794,1077197,159181,166275,268876,89636,153477,6165,68856,711773,10099,22733,10197,8910,9334,12193,9400,53094,44183,11000,611104,27137,6675270,243780,9025,5878,44824,12233
"MES_7_C",11316,191252,177056,210048,228139,8993,29680,21466,17979,10940,61712,316429,143823,263985,80747,74094,953462,8817,34198,403012,23276,21091,96292,34766,107695,546735,26613,643265,140077,138322,126989,65441,98625,5144,56793,515913,7781,14880,7918,6557,9161,10012,6843,40744,42745,8097,572993,23142,4881160,475775,8658,3967,27859,9351
"MES_7_D",9586,225509,428942,245673,101488,8829,29710,22425,12214,11533,62340,328254,157854,216547,95319,95139,739415,9519,42582,338736,25317,21651,161010,45683,112292,424127,23536,813032,123272,108092,223629,73960,139783,5312,60921,756227,8414,19723,9171,8020,8248,10541,7418,43537,34000,8663,740273,20417,5672314,128513,6964,4450,34032,10707
"MES_7_E",9087,338379,358292,361555,72428,11237,70401,33463,11953,10938,57325,234589,111009,285532,107484,99018,774987,14167,94956,610455,17776,25011,126350,10402,83291,616132,70802,123147,83582,151966,161804,87303,153845,5143,80592,1010625,10554,21369,14527,8292,10204,14542,7880,63512,326971,5835,799005,21904,6840348,17830,9077,11445,49632,10585
"MES_7_F",6549,184116,389087,287228,49357,6519,30327,26156,10909,9515,39008,221754,172925,325741,84377,106860,994436,13057,44900,547439,19334,15476,183938,218983,76931,617832,33543,1118803,106893,56772,116824,99290,113659,5122,55987,1112718,7990,18352,14058,7648,6357,9072,9612,43085,157329,9025,869739,30700,6086640,74480,5799,7952,45494,9191
"pH10_1_A",11589,52631,1680594,345568,35177,19196,14186,59292,2502,5601,2143,241492,22390,91403,28404,6075,202273,3803,14095,187213,12163,3044,9271,65938,77876,190391,13701,2738627,230198,77737,285323,77424,95043,8070,14798,13186,7226,5398,6999,4376,10978,8858,1560,17419,56376,2832,125827,7784,316675,217036,4070,4292,53881,3343
"pH10_1_B",8290,80901,2013193,247553,29131,11319,9609,43654,2550,5960,1753,195782,36836,147753,18548,5115,147516,3985,8699,267118,7770,2361,7570,145953,60697,239168,14773,3360296,228711,52695,225068,79557,96323,5846,11172,7679,5024,5821,6496,4641,11024,8496,1827,13639,41709,3678,108437,15067,278991,413178,1869,4809,45912,3438
"pH10_1_C",12822,38329,1482595,145607,32635,11265,9345,45598,1912,5107,2353,148973,29836,121594,16091,5633,207108,2819,7296,211237,10236,4395,7828,82713,46259,232833,10333,3055706,173063,60778,101772,63243,46739,4421,20890,14369,3019,4678,5092,3621,8841,6476,1297,14028,50197,4358,102023,11406,241028,260917,5286,3149,51914,2895
"pH10_1_D",6006,17178,1113108,46090,19523,4506,3749,19869,981,2520,1455,89827,23488,80391,7350,3233,69262,1488,4047,152972,6168,2229,3943,65979,28352,159214,5526,2503162,84575,16587,46844,33636,17136,1895,10593,5006,1636,2319,2409,1744,4500,2968,738,4728,31467,2726,43886,7461,93589,156683,2952,1524,20435,1392
"pH10_1_E",44435,228632,5517800,469209,150141,73829,32532,210362,3086,8227,8860,397047,37444,156178,56999,8500,720346,3740,18463,443641,17424,13644,16810,25188,126105,250880,9640,851940,193144,116544,363662,147785,133272,13582,52452,72674,8780,7231,7278,4059,17977,10071,1632,33551,204113,6377,272977,15837,253677,40322,28818,3812,116420,3967
"pH10_1_F",4121,41178,1528778,26114,13432,5534,4200,9334,1106,2754,834,46907,9404,35966,7036,2937,227539,1626,4094,47493,4716,1528,2925,110822,14221,43315,7552,2475996,112690,51414,95449,52428,12648,1860,5624,3046,1173,2661,2991,2163,4999,3952,772,17853,20118,1621,21545,4454,114488,223133,2591,2157,28494,1572
"pH10_2_A",19993,28666,2077783,434174,38905,25963,12037,74325,2141,7121,2697,240764,50254,251775,25732,7835,146334,3308,13595,451740,17554,5853,10167,70321,78898,402919,8583,3311670,140416,83023,317102,124664,78622,9300,29416,26333,5673,5118,4812,3586,9847,6818,1478,8047,112427,3866,249954,25446,132784,26304,4742,2872,53844,3491
"pH10_2_B",5636,449955,1477594,262008,16720,24082,18731,63767,4395,7796,1351,158144,34602,143203,38256,26932,255326,6315,40812,249141,38663,2217,13087,131323,48866,231745,14413,806795,234054,221266,1193042,142669,160767,9323,8645,11543,6902,10984,12779,8141,14821,15068,9758,66094,31801,2764,114578,14706,1983820,122641,1257,7510,71398,9821
"pH10_2_C",18770,187630,3689007,303673,46087,18523,19201,105311,3869,9188,2761,275383,70829,377015,32616,10082,548628,5633,14082,582604,19464,6550,13404,199126,85787,805584,20402,3796109,349989,150017,296687,292947,170135,6669,31183,22406,7658,11572,10903,8022,24559,15671,2604,48238,73955,5973,187475,29959,473471,566507,6399,6683,101530,6994
